mcc_cat_desc,total,transactions,doy,hour
ANTIQUES,2718.5,22,320,9
ANTIQUES,1644.59,24,320,10
ANTIQUES,890.08,22,320,11
ANTIQUES,2330.16,44,320,12
ANTIQUES,1518.13,30,320,13
ANTIQUES,2042.76,27,320,14
ANTIQUES,2732.87,21,320,15
ANTIQUES,879.35,11,320,16
ANTIQUES,169.13,5,320,17
ANTIQUES,43.2,1,320,19
ANTIQUES,43.5,1,320,20
ANTIQUES,82.57,3,321,8
ANTIQUES,101.76,4,321,9
ANTIQUES,330.98,12,321,10
ANTIQUES,1250.75,21,321,11
ANTIQUES,930.19,23,321,12
ANTIQUES,558.03,17,321,13
ANTIQUES,1087.4,14,321,14
ANTIQUES,329.27,11,321,15
ANTIQUES,242.49,7,321,16
ANTIQUES,158.33,4,321,17
ANTIQUES,48.94,1,321,18
ANTIQUES,364.31,1,321,19
ANTIQUES,44.16,2,322,7
ANTIQUES,49.15,1,322,8
ANTIQUES,453.73,4,322,9
ANTIQUES,902.44,12,322,10
ANTIQUES,751.32,11,322,11
ANTIQUES,756.76,14,322,12
ANTIQUES,1066.36,10,322,13
ANTIQUES,459.4,13,322,14
ANTIQUES,172.6,7,322,15
ANTIQUES,399.48,5,322,16
ANTIQUES,18.22,2,322,17
ANTIQUES,15.16,1,322,19
ANTIQUES,53.5,1,323,7
ANTIQUES,190.4,4,323,8
ANTIQUES,477,5,323,9
ANTIQUES,176.14,7,323,10
ANTIQUES,738.5,12,323,11
ANTIQUES,422.58,6,323,12
ANTIQUES,422.86,9,323,13
ANTIQUES,368.93,11,323,14
ANTIQUES,1278.85,10,323,15
ANTIQUES,316.46,6,323,16
ANTIQUES,723.99,7,323,17
ANTIQUES,95.8,1,324,7
ANTIQUES,464.73,7,324,8
ANTIQUES,428.16,12,324,9
ANTIQUES,790.8,14,324,10
ANTIQUES,748.08,10,324,11
ANTIQUES,304.2,8,324,12
ANTIQUES,318,6,324,13
ANTIQUES,384.57,8,324,14
ANTIQUES,47.52,2,324,15
ANTIQUES,315.47,5,324,16
ANTIQUES,65.7,2,324,17
ANTIQUES,21.53,1,324,18
ANTIQUES,26.16,1,324,19
ANTIQUES,121.96,3,325,7
ANTIQUES,119.56,3,325,8
ANTIQUES,715.85,5,325,9
ANTIQUES,71.4,3,325,10
ANTIQUES,679.7,13,325,11
ANTIQUES,849.89,15,325,12
ANTIQUES,669.99,14,325,13
ANTIQUES,208.88,9,325,14
ANTIQUES,744.33,9,325,15
ANTIQUES,1113.8,6,325,16
ANTIQUES,101.3,4,325,17
ANTIQUES,43.6,1,325,19
ANTIQUES,26,1,326,6
ANTIQUES,498.64,3,326,7
ANTIQUES,86.5,3,326,8
ANTIQUES,916.69,10,326,9
ANTIQUES,936.01,10,326,10
ANTIQUES,735.21,14,326,11
ANTIQUES,887.11,12,326,12
ANTIQUES,449.83,14,326,13
ANTIQUES,300.62,6,326,14
ANTIQUES,494.69,7,326,15
ANTIQUES,333.68,7,326,16
ANTIQUES,445.78,3,326,17
ANTIQUES,183.05,4,326,18
ANTIQUES,200.34,4,326,19
ANTIQUES,19.39,1,326,22
ANTIQUES,4.27,1,327,7
ANTIQUES,618.21,12,327,8
ANTIQUES,709.52,16,327,9
ANTIQUES,2188.55,27,327,10
ANTIQUES,1321.47,32,327,11
ANTIQUES,2709.56,49,327,12
ANTIQUES,1358.95,25,327,13
ANTIQUES,1911.03,43,327,14
ANTIQUES,1249.04,19,327,15
ANTIQUES,1678.64,15,327,16
ANTIQUES,595.02,11,327,17
ANTIQUES,147.52,3,327,18
ANTIQUES,119.09,2,328,8
ANTIQUES,115.5,5,328,9
ANTIQUES,370.07,8,328,10
ANTIQUES,507.78,20,328,11
ANTIQUES,2496.6,16,328,12
ANTIQUES,2417.51,18,328,13
ANTIQUES,1424.77,27,328,14
ANTIQUES,839.89,17,328,15
ANTIQUES,1178.18,6,328,16
ANTIQUES,225.83,3,328,17
ANTIQUES,37,1,328,18
ANTIQUES,23.21,2,329,7
ANTIQUES,351.15,7,329,8
ANTIQUES,781.54,11,329,9
ANTIQUES,579.63,8,329,10
ANTIQUES,1565.2,13,329,11
ANTIQUES,481.98,11,329,12
ANTIQUES,448.61,9,329,13
ANTIQUES,472.52,10,329,14
ANTIQUES,245,7,329,15
ANTIQUES,320.07,6,329,16
ANTIQUES,105.33,2,329,17
ANTIQUES,225.27,4,330,8
ANTIQUES,60.09,1,330,9
ANTIQUES,1229.1,10,330,10
ANTIQUES,759.72,8,330,11
ANTIQUES,536.43,17,330,12
ANTIQUES,1143.66,11,330,13
ANTIQUES,463.96,10,330,14
ANTIQUES,349.73,10,330,15
ANTIQUES,677.27,6,330,16
ANTIQUES,357.34,3,330,17
ANTIQUES,9.6,1,331,7
ANTIQUES,227.12,3,331,8
ANTIQUES,608.13,14,331,9
ANTIQUES,175.76,6,331,10
ANTIQUES,1290.18,16,331,11
ANTIQUES,713.54,15,331,12
ANTIQUES,1146.91,12,331,13
ANTIQUES,612.51,13,331,14
ANTIQUES,562.19,7,331,15
ANTIQUES,65.16,2,331,16
ANTIQUES,51.95,1,331,17
ANTIQUES,27.06,1,331,18
ANTIQUES,37.94,1,331,19
ANTIQUES,23.56,2,332,12
ANTIQUES,85.62,2,332,13
ANTIQUES,95.35,1,332,18
ANTIQUES,24.51,1,332,19
ANTIQUES,55.58,1,332,22
